commit_hash,actor,branch,commit_message,event_type,files_changed,lines_added,lines_deleted,lines_changed,execution_time_seg,test_duration_sec,build_duration_sec,failed_job_name,failed_steps_count,log_category,dia_semana,hora_dia,is_weekend,is_hotfix_branch,is_feature_branch,is_main_branch,has_docker_change,has_db_change,has_api_change,has_frontend_change,has_login_change,has_dependency_change,has_env_change,has_migration_change,commit_action,commit_scope,risk_score_synthetic,status
c3a9b196,carlos_dev,ci/cd-proyecto,add database module,push,7,419,326,745,649,333,243,quality-and-testing,2,database,4,2,0,0,0,0,0,1,0,0,0,0,0,0,add,database,0.6865,failure
41f29fa5,carlos_dev,feature/pagos,refactor database module,pull_request,20,573,120,693,615,234,299,quality-and-testing,1,database,4,20,0,0,1,0,0,1,0,0,0,0,0,0,refactor,database,0.6674,failure
cb124a92,carlos_dev,release/v1,add tests module,push,14,293,0,293,223,27,107,none,0,none,3,14,0,0,0,0,0,0,0,0,0,0,0,0,add,tests,0.3264,success
4f42598b,maria_backend,feature/api,rollback environment module,pull_request,15,511,181,692,324,85,214,security-and-build,2,dependency,5,2,0,0,1,0,0,0,0,0,0,0,1,0,rollback,environment,0.7985,failure
f93dbefa,carlos_dev,feature/dashboard,remove dependencies module,pull_request,10,98,187,285,563,162,367,none,0,none,3,20,0,0,1,0,0,0,0,0,0,1,0,0,remove,dependencies,0.3112,success
7348718a,anndrew492,feature/pagos,fix environment module,push,5,102,178,280,380,129,211,none,0,none,4,2,0,0,1,0,0,0,0,0,0,0,1,0,fix,environment,0.4011,success
7ca6f3ed,anndrew492,feature/api,merge api module,pull_request,1,357,97,454,303,112,137,none,0,none,4,3,0,0,1,0,0,0,1,0,0,0,0,0,merge,api,0.2349,success
22150c5b,junior_juan,ci/cd-proyecto,merge docker module,push,13,136,323,459,441,200,226,security-and-build,2,docker,6,8,1,0,0,0,1,0,0,0,0,0,0,0,merge,docker,0.5980,failure
38a0b8cc,anndrew492,hotfix/urgente,fix login module,push,13,644,117,761,268,78,108,security-and-build,3,dependency,6,16,1,1,0,0,0,0,0,0,1,0,0,0,fix,login,0.9200,failure
ece37fec,anndrew492,feature/pagos,fix dependencies module,pull_request,9,170,108,278,295,54,233,none,0,none,4,20,0,0,1,0,0,0,0,0,0,1,0,0,fix,dependencies,0.3578,success
f951625a,anndrew492,feature/dashboard,merge dependencies module,pull_request,11,286,147,433,441,159,208,none,0,none,1,6,0,0,1,0,0,0,0,0,0,1,0,0,merge,dependencies,0.3836,success
05e3e620,junior_juan,release/v1,add billing module,pull_request,4,156,277,433,354,120,185,none,0,none,2,7,0,0,0,0,0,0,0,0,0,0,0,0,add,billing,0.0300,success
d711f057,carlos_dev,feature/dashboard,update dependencies module,push,10,129,357,486,437,128,243,security-and-build,4,dependency,7,11,1,0,1,0,0,0,0,0,0,1,0,0,update,dependencies,0.5649,failure
ab9334f2,carlos_dev,release/v1,update auth module,pull_request,4,102,169,271,297,176,34,none,0,none,2,1,0,0,0,0,0,0,0,0,1,0,0,0,update,auth,0.2232,success
4909ee6b,carlos_dev,feature/dashboard,update api module,pull_request,5,556,234,790,464,185,246,quality-and-testing,2,syntax,1,22,0,0,1,0,0,0,1,0,0,0,0,0,update,api,0.5433,failure
894578d7,junior_juan,release/v1,refactor login module,pull_request,6,8,6,14,214,44,111,none,0,none,6,5,1,0,0,0,0,0,0,0,1,0,0,0,refactor,login,0.4443,success
db3cb036,maria_backend,main,fix billing module,push,9,437,191,628,550,284,248,security-and-build,4,timeout,4,0,0,0,0,1,0,0,0,0,0,0,0,0,fix,billing,0.4590,failure
073618aa,carlos_dev,feature/pagos,merge migration module,pull_request,10,31,186,217,264,158,76,none,0,none,7,10,1,0,1,0,0,0,0,0,0,0,0,1,merge,migration,0.3145,success
e7335c76,maria_backend,ci/cd-proyecto,remove dashboard module,push,15,301,353,654,527,304,169,none,0,none,1,6,0,0,0,0,0,0,0,1,0,0,0,0,remove,dashboard,0.4224,success
745d8528,anndrew492,feature/dashboard,merge dashboard module,push,10,568,198,766,385,160,194,none,0,none,2,6,0,0,1,0,0,0,0,1,0,0,0,0,merge,dashboard,0.3836,success
b8d67657,anndrew492,feature/dashboard,rollback tests module,pull_request,6,298,102,400,331,158,102,none,0,none,2,18,0,0,1,0,0,0,0,0,0,0,0,0,rollback,tests,0.0402,success
126789bd,carlos_dev,feature/api,remove api module,pull_request,1,163,51,214,189,33,104,none,0,none,5,11,0,0,1,0,0,0,1,0,0,0,0,0,remove,api,0.1838,success
b3b28c32,carlos_dev,feature/api,add dependencies module,pull_request,20,268,332,600,513,246,209,security-and-build,2,dependency,4,14,0,0,1,0,0,0,0,0,0,1,0,0,add,dependencies,0.5567,failure
e3b52c84,junior_juan,release/v1,merge database module,pull_request,20,455,36,491,602,262,260,none,0,none,3,14,0,0,0,0,0,1,0,0,0,0,0,0,merge,database,0.3977,success
c797d12f,maria_backend,release/v1,refactor migration module,push,15,561,115,676,607,347,235,quality-and-testing,3,database,4,5,0,0,0,0,0,0,0,0,0,0,0,1,refactor,migration,0.8576,failure
aaec171d,anndrew492,feature/pagos,rollback frontend module,push,5,131,257,388,229,35,139,none,0,none,5,6,0,0,1,0,0,0,0,1,0,0,0,0,rollback,frontend,0.2426,success
6b8ffa0d,carlos_dev,release/v1,merge environment module,pull_request,5,142,102,244,353,48,249,none,0,none,2,3,0,0,0,0,0,0,0,0,0,0,1,0,merge,environment,0.3649,success
c9716e10,carlos_dev,hotfix/urgente,remove frontend module,pull_request,13,549,2,551,456,236,211,security-and-build,3,dependency,3,1,0,1,0,0,0,0,0,1,0,0,0,0,remove,frontend,0.5098,failure
745095ad,anndrew492,feature/dashboard,rollback environment module,push,13,407,207,614,349,129,132,security-and-build,5,docker,1,12,0,0,1,0,0,0,0,0,0,0,1,0,rollback,environment,0.7256,failure
c33d88fc,anndrew492,feature/pagos,update frontend module,pull_request,12,59,210,269,306,188,33,none,0,none,1,3,0,0,1,0,0,0,0,1,0,0,0,0,update,frontend,0.0680,success
2aa0ff3b,carlos_dev,feature/api,remove migration module,push,17,13,170,183,466,176,236,quality-and-testing,4,database,4,23,0,0,1,0,0,0,0,0,0,0,0,1,remove,migration,0.6022,failure
fab90826,carlos_dev,main,merge login module,pull_request,13,115,245,360,306,154,142,none,0,none,1,22,0,0,0,1,0,0,0,0,1,0,0,0,merge,login,0.4195,success
575ac70e,maria_backend,feature/pagos,refactor docker module,pull_request,15,35,310,345,400,175,165,none,0,none,1,21,0,0,1,0,1,0,0,0,0,0,0,0,refactor,docker,0.3891,success
2384e11c,maria_backend,main,fix environment module,pull_request,14,228,50,278,340,92,230,none,0,none,7,9,1,0,0,1,0,0,0,0,0,0,1,0,fix,environment,0.4065,success
93be3dce,anndrew492,feature/api,refactor api module,pull_request,8,567,186,753,519,228,255,quality-and-testing,3,database,5,10,0,0,1,0,0,0,1,0,0,0,0,0,refactor,api,0.4933,failure
d8d0a0d1,carlos_dev,hotfix/urgente,remove api module,pull_request,15,240,27,267,129,56,36,security-and-build,5,docker,5,17,0,1,0,0,0,0,1,0,0,0,0,0,remove,api,0.5683,failure
06484e9a,anndrew492,main,add billing module,pull_request,12,73,34,107,458,182,200,none,0,none,2,22,0,0,0,1,0,0,0,0,0,0,0,0,add,billing,0.0300,success
625c1b79,carlos_dev,feature/api,refactor frontend module,push,18,557,131,688,536,170,284,security-and-build,5,timeout,6,17,1,0,1,0,0,0,0,1,0,0,0,0,refactor,frontend,0.5217,failure
3ac1f4bd,maria_backend,release/v1,fix environment module,push,12,414,33,447,425,159,237,none,0,none,1,13,0,0,0,0,0,0,0,0,0,0,1,0,fix,environment,0.3993,success
c68f953c,anndrew492,release/v1,fix docker module,pull_request,1,619,18,637,437,133,267,security-and-build,1,docker,2,18,0,0,0,0,1,0,0,0,0,0,0,0,fix,docker,0.5211,failure
7a270d0c,carlos_dev,hotfix/urgente,refactor api module,pull_request,17,297,283,580,385,308,50,telemetry-dispatch,3,timeout,6,2,1,1,0,0,0,0,1,0,0,0,0,0,refactor,api,0.8924,failure
03367d7f,junior_juan,feature/pagos,remove billing module,pull_request,8,533,195,728,528,233,276,none,0,none,4,3,0,0,1,0,0,0,0,0,0,0,0,0,remove,billing,0.1319,success
6cde942b,anndrew492,main,add docker module,pull_request,3,534,237,771,649,169,404,security-and-build,4,docker,5,8,0,0,0,1,1,0,0,0,0,0,0,0,add,docker,0.5964,failure
e576c115,carlos_dev,feature/pagos,remove tests module,pull_request,13,326,338,664,509,148,325,none,0,none,7,4,1,0,1,0,0,0,0,0,0,0,0,0,remove,tests,0.2195,success
b0b4fa72,anndrew492,release/v1,rollback docker module,pull_request,2,148,127,275,295,107,147,none,0,none,3,7,0,0,0,0,1,0,0,0,0,0,0,0,rollback,docker,0.3041,success
64755063,anndrew492,feature/api,fix billing module,push,10,411,104,515,295,88,153,none,0,none,5,9,0,0,1,0,0,0,0,0,0,0,0,0,fix,billing,0.2848,success
c7a45a26,junior_juan,hotfix/urgente,fix billing module,pull_request,15,227,109,336,155,53,72,security-and-build,4,env,4,19,0,1,0,0,0,0,0,0,0,0,0,0,fix,billing,0.5254,failure
90776c67,anndrew492,ci/cd-proyecto,refactor database module,pull_request,14,220,284,504,506,329,163,quality-and-testing,4,database,4,0,0,0,0,0,0,1,0,0,0,0,0,0,refactor,database,0.4780,failure
0fc33eb0,maria_backend,main,rollback auth module,push,4,406,274,680,335,167,99,quality-and-testing,3,syntax,5,13,0,0,0,1,0,0,0,0,1,0,0,0,rollback,auth,0.9200,failure
427fadbb,anndrew492,feature/pagos,remove security module,push,1,14,84,98,190,68,115,none,0,none,2,5,0,0,1,0,0,0,0,0,0,0,0,0,remove,security,0.0300,success
1e61a2a7,anndrew492,release/v1,add api module,pull_request,11,569,329,898,363,104,237,security-and-build,2,security,7,0,1,0,0,0,0,0,1,0,0,0,0,0,add,api,0.6350,failure
836477be,anndrew492,feature/pagos,update dashboard module,pull_request,10,633,217,850,500,298,174,none,0,none,3,23,0,0,1,0,0,0,0,1,0,0,0,0,update,dashboard,0.1280,success
b4433a52,carlos_dev,feature/pagos,refactor security module,push,7,311,136,447,359,107,241,none,0,none,6,11,1,0,1,0,0,0,0,0,0,0,0,0,refactor,security,0.1494,success
98080212,maria_backend,ci/cd-proyecto,fix login module,push,7,70,1,71,131,19,29,none,0,none,4,6,0,0,0,0,0,0,0,0,1,0,0,0,fix,login,0.2194,success
6e5d653a,junior_juan,feature/dashboard,rollback dependencies module,push,5,246,101,347,503,189,234,security-and-build,4,dependency,6,1,1,0,1,0,0,0,0,0,0,1,0,0,rollback,dependencies,0.8049,failure
141851c4,maria_backend,feature/api,fix database module,push,13,356,2,358,476,198,212,none,0,none,1,8,0,0,1,0,0,1,0,0,0,0,0,0,fix,database,0.3247,success
fbf7f703,anndrew492,hotfix/urgente,merge security module,pull_request,10,450,62,512,569,270,218,none,0,none,4,18,0,1,0,0,0,0,0,0,0,0,0,0,merge,security,0.3834,success
463b9f53,carlos_dev,ci/cd-proyecto,update dependencies module,pull_request,19,156,38,194,331,20,263,none,0,none,7,10,1,0,0,0,0,0,0,0,0,1,0,0,update,dependencies,0.3841,success
b3989c1c,maria_backend,release/v1,refactor dependencies module,pull_request,12,142,120,262,494,143,281,none,0,none,1,3,0,0,0,0,0,0,0,0,0,1,0,0,refactor,dependencies,0.3324,success
d57b2241,junior_juan,ci/cd-proyecto,update auth module,push,14,632,310,942,518,156,278,security-and-build,3,docker,1,4,0,0,0,0,0,0,0,0,1,0,0,0,update,auth,0.9200,failure
5a019e79,carlos_dev,release/v1,refactor tests module,pull_request,5,300,239,539,520,328,111,none,0,none,6,1,1,0,0,0,0,0,0,0,0,0,0,0,refactor,tests,0.2759,success
99d2e42d,junior_juan,ci/cd-proyecto,add tests module,push,18,588,302,890,480,221,245,quality-and-testing,4,test,1,16,0,0,0,0,0,0,0,0,0,0,0,0,add,tests,0.4877,failure
4e536d1b,anndrew492,feature/api,merge billing module,pull_request,8,270,84,354,253,101,104,none,0,none,1,22,0,0,1,0,0,0,0,0,0,0,0,0,merge,billing,0.1288,success
4d5e5f35,maria_backend,main,update tests module,push,13,639,142,781,305,56,217,quality-and-testing,5,test,1,1,0,0,0,1,0,0,0,0,0,0,0,0,update,tests,0.5172,failure
eba65dd1,carlos_dev,main,add login module,pull_request,6,571,226,797,280,130,132,security-and-build,3,security,7,4,1,0,0,1,0,0,0,0,1,0,0,0,add,login,0.6584,failure
32b3e128,junior_juan,ci/cd-proyecto,update billing module,push,1,73,354,427,463,194,246,none,0,none,7,10,1,0,0,0,0,0,0,0,0,0,0,0,update,billing,0.3230,success
74bd2d5b,carlos_dev,hotfix/urgente,refactor environment module,push,11,72,354,426,284,88,139,quality-and-testing,4,env,7,14,1,1,0,0,0,0,0,0,0,0,1,0,refactor,environment,0.7610,failure
c38ddd0b,anndrew492,feature/pagos,refactor tests module,pull_request,15,411,251,662,442,165,208,none,0,none,4,7,0,0,1,0,0,0,0,0,0,0,0,0,refactor,tests,0.3048,success
24f4a127,maria_backend,feature/api,refactor dependencies module,push,4,236,345,581,629,143,419,security-and-build,1,dependency,7,16,1,0,1,0,0,0,0,0,0,1,0,0,refactor,dependencies,0.6115,failure
41f1c54d,anndrew492,main,rollback environment module,push,12,159,346,505,488,164,237,security-and-build,3,docker,2,2,0,0,0,1,0,0,0,0,0,0,1,0,rollback,environment,0.8421,failure
41849049,anndrew492,feature/dashboard,rollback frontend module,push,9,116,351,467,513,205,219,none,0,none,5,16,0,0,1,0,0,0,0,1,0,0,0,0,rollback,frontend,0.3847,success
7a08c0f4,junior_juan,feature/api,update migration module,pull_request,20,259,255,514,538,279,173,quality-and-testing,4,database,3,14,0,0,1,0,0,0,0,0,0,0,0,1,update,migration,0.4750,failure
985e9f47,carlos_dev,feature/api,update api module,push,12,608,156,764,540,281,246,quality-and-testing,5,timeout,7,10,1,0,1,0,0,0,1,0,0,0,0,0,update,api,0.7143,failure
7ea01539,anndrew492,hotfix/urgente,add tests module,pull_request,9,145,269,414,270,197,37,none,0,none,3,6,0,1,0,0,0,0,0,0,0,0,0,0,add,tests,0.3677,success
3b2055bb,anndrew492,feature/api,update auth module,push,13,365,237,602,527,287,150,security-and-build,1,timeout,4,15,0,0,1,0,0,0,0,0,1,0,0,0,update,auth,0.6202,failure
3c252cf3,anndrew492,hotfix/urgente,remove dashboard module,push,14,549,178,727,209,73,116,security-and-build,1,security,7,5,1,1,0,0,0,0,0,1,0,0,0,0,remove,dashboard,0.9200,failure
0f8ccc11,carlos_dev,feature/dashboard,refactor login module,push,2,509,240,749,493,182,301,quality-and-testing,1,test,4,2,0,0,1,0,0,0,0,0,1,0,0,0,refactor,login,0.7150,failure
f509d58d,anndrew492,main,update tests module,pull_request,8,19,113,132,347,218,119,none,0,none,4,9,0,0,0,1,0,0,0,0,0,0,0,0,update,tests,0.0620,success
91cdbcd6,carlos_dev,hotfix/urgente,remove auth module,push,15,485,213,698,438,173,195,quality-and-testing,3,syntax,2,17,0,1,0,0,0,0,0,0,1,0,0,0,remove,auth,0.9200,failure
d0119f69,maria_backend,feature/dashboard,rollback environment module,push,10,524,268,792,449,338,85,security-and-build,3,timeout,4,2,0,0,1,0,0,0,0,0,0,0,1,0,rollback,environment,0.7849,failure
82aff586,maria_backend,ci/cd-proyecto,refactor api module,pull_request,6,644,268,912,489,222,186,security-and-build,4,timeout,5,4,0,0,0,0,0,0,1,0,0,0,0,0,refactor,api,0.6835,failure
91876b86,carlos_dev,feature/pagos,refactor tests module,push,7,564,44,608,658,241,354,none,0,none,5,21,0,0,1,0,0,0,0,0,0,0,0,0,refactor,tests,0.3464,success
1e51881a,anndrew492,release/v1,remove frontend module,pull_request,5,501,57,558,597,321,246,none,0,none,2,10,0,0,0,0,0,0,0,1,0,0,0,0,remove,frontend,0.0300,success
e0e0fede,carlos_dev,feature/pagos,update security module,pull_request,4,589,146,735,446,176,204,none,0,none,4,8,0,0,1,0,0,0,0,0,0,0,0,0,update,security,0.0300,success
c739ba73,junior_juan,ci/cd-proyecto,remove tests module,push,5,380,41,421,296,74,146,none,0,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,remove,tests,0.3238,success
87681541,junior_juan,main,add environment module,pull_request,15,567,258,825,296,133,147,quality-and-testing,4,runtime,6,3,1,0,0,1,0,0,0,0,0,0,1,0,add,environment,0.8834,failure
171b32ae,carlos_dev,ci/cd-proyecto,fix billing module,pull_request,12,261,73,334,283,72,150,none,0,none,3,3,0,0,0,0,0,0,0,0,0,0,0,0,fix,billing,0.0950,success
f1c2c2c3,junior_juan,hotfix/urgente,remove security module,push,19,541,233,774,292,169,104,security-and-build,2,security,4,16,0,1,0,0,0,0,0,0,0,0,0,0,remove,security,0.6899,failure
be2284b1,junior_juan,feature/pagos,update api module,push,9,106,256,362,459,144,239,none,0,none,2,11,0,0,1,0,0,0,1,0,0,0,0,0,update,api,0.3728,success
39e7b0ec,carlos_dev,feature/dashboard,merge api module,push,7,501,116,617,629,252,293,quality-and-testing,2,timeout,4,14,0,0,1,0,0,0,1,0,0,0,0,0,merge,api,0.4762,failure
1022bb2f,junior_juan,main,refactor auth module,push,9,478,245,723,301,119,153,quality-and-testing,1,syntax,1,20,0,0,0,1,0,0,0,0,1,0,0,0,refactor,auth,0.9200,failure
4e91dcce,maria_backend,release/v1,merge migration module,push,14,406,64,470,316,216,33,quality-and-testing,5,database,6,19,1,0,0,0,0,0,0,0,0,0,0,1,merge,migration,0.5823,failure
11a0169e,anndrew492,feature/api,rollback login module,push,16,190,79,269,221,168,23,telemetry-dispatch,5,timeout,3,17,0,0,1,0,0,0,0,0,1,0,0,0,rollback,login,0.4905,failure
bd3549c4,maria_backend,ci/cd-proyecto,add frontend module,pull_request,10,589,315,904,286,122,137,none,0,none,5,7,0,0,0,0,0,0,0,1,0,0,0,0,add,frontend,0.2163,success
4d4d9dc3,carlos_dev,feature/pagos,refactor docker module,pull_request,15,129,319,448,378,155,167,none,0,none,2,0,0,0,1,0,1,0,0,0,0,0,0,0,refactor,docker,0.3563,success
5598ad4b,junior_juan,feature/dashboard,update frontend module,pull_request,2,114,358,472,231,128,73,none,0,none,4,15,0,0,1,0,0,0,0,1,0,0,0,0,update,frontend,0.0300,success
8917c123,junior_juan,main,merge migration module,pull_request,20,81,152,233,296,152,135,quality-and-testing,5,database,7,6,1,0,0,1,0,0,0,0,0,0,0,1,merge,migration,0.4707,failure
23eec5fe,junior_juan,feature/api,rollback dashboard module,pull_request,8,357,47,404,231,133,65,none,0,none,2,12,0,0,1,0,0,0,0,1,0,0,0,0,rollback,dashboard,0.0808,success
109ad974,maria_backend,feature/dashboard,merge dashboard module,push,7,465,207,672,529,269,179,none,0,none,2,12,0,0,1,0,0,0,0,1,0,0,0,0,merge,dashboard,0.3181,success
2d761c3c,maria_backend,feature/dashboard,update environment module,push,13,218,167,385,198,106,22,none,0,none,4,20,0,0,1,0,0,0,0,0,0,0,1,0,update,environment,0.3934,success
7041a49b,junior_juan,release/v1,fix billing module,push,2,159,359,518,447,279,127,none,0,none,3,23,0,0,0,0,0,0,0,0,0,0,0,0,fix,billing,0.1854,success
0730ccb4,maria_backend,release/v1,rollback tests module,pull_request,6,77,127,204,459,211,224,none,0,none,6,4,1,0,0,0,0,0,0,0,0,0,0,0,rollback,tests,0.2934,success
6c0e4a36,junior_juan,feature/pagos,merge environment module,pull_request,2,501,295,796,233,89,100,security-and-build,2,dependency,3,17,0,0,1,0,0,0,0,0,0,0,1,0,merge,environment,0.5200,failure
0474b8de,junior_juan,hotfix/urgente,merge environment module,pull_request,10,393,7,400,101,15,42,quality-and-testing,3,runtime,5,21,0,1,0,0,0,0,0,0,0,0,1,0,merge,environment,0.7291,failure
316d36b2,junior_juan,release/v1,refactor dashboard module,push,13,468,314,782,376,150,192,none,0,none,4,15,0,0,0,0,0,0,0,1,0,0,0,0,refactor,dashboard,0.4285,success
7275328e,maria_backend,release/v1,fix dashboard module,push,6,45,339,384,245,111,48,none,0,none,2,4,0,0,0,0,0,0,0,1,0,0,0,0,fix,dashboard,0.3332,success
308bfee7,junior_juan,feature/api,add environment module,push,14,226,181,407,226,112,81,quality-and-testing,3,database,2,6,0,0,1,0,0,0,0,0,0,0,1,0,add,environment,0.4772,failure
e05e6945,anndrew492,release/v1,remove database module,push,9,276,178,454,290,195,58,quality-and-testing,1,database,6,10,1,0,0,0,0,1,0,0,0,0,0,0,remove,database,0.5332,failure
274791ef,anndrew492,ci/cd-proyecto,update auth module,push,13,435,276,711,507,224,249,telemetry-dispatch,3,timeout,1,13,0,0,0,0,0,0,0,0,1,0,0,0,update,auth,0.6351,failure
8143088c,maria_backend,hotfix/urgente,remove auth module,pull_request,12,564,264,828,290,166,91,quality-and-testing,4,timeout,7,12,1,1,0,0,0,0,0,0,1,0,0,0,remove,auth,0.8688,failure
e4adc685,anndrew492,feature/api,remove environment module,push,11,471,40,511,616,234,317,security-and-build,1,timeout,2,2,0,0,1,0,0,0,0,0,0,0,1,0,remove,environment,0.5473,failure
2bba2a9c,carlos_dev,feature/api,remove frontend module,push,6,305,70,375,287,99,111,none,0,none,1,18,0,0,1,0,0,0,0,1,0,0,0,0,remove,frontend,0.1017,success
ff5df260,anndrew492,ci/cd-proyecto,remove migration module,pull_request,5,126,107,233,325,196,46,none,0,none,1,20,0,0,0,0,0,0,0,0,0,0,0,1,remove,migration,0.3287,success
7d37cf53,carlos_dev,feature/pagos,merge dependencies module,pull_request,23,225,356,581,545,157,318,none,0,none,3,2,0,0,1,0,0,0,0,0,0,1,0,0,merge,dependencies,0.4172,success
5ee687b9,junior_juan,release/v1,rollback billing module,push,2,294,190,484,174,63,56,none,0,none,4,13,0,0,0,0,0,0,0,0,0,0,0,0,rollback,billing,0.3385,success
46f4caca,carlos_dev,ci/cd-proyecto,refactor dashboard module,pull_request,18,75,98,173,337,191,75,none,0,none,2,9,0,0,0,0,0,0,0,1,0,0,0,0,refactor,dashboard,0.0718,success
47672abe,carlos_dev,feature/pagos,fix dashboard module,push,15,209,319,528,444,322,87,none,0,none,1,0,0,0,1,0,0,0,0,1,0,0,0,0,fix,dashboard,0.2653,success
846374a6,junior_juan,hotfix/urgente,update login module,pull_request,9,481,304,785,476,198,237,quality-and-testing,5,syntax,1,13,0,1,0,0,0,0,0,0,1,0,0,0,update,login,0.8955,failure
64d24c29,maria_backend,ci/cd-proyecto,merge docker module,push,14,251,252,503,450,178,266,security-and-build,3,docker,5,1,0,0,0,0,1,0,0,0,0,0,0,0,merge,docker,0.5286,failure
a3649a87,anndrew492,feature/api,rollback environment module,push,17,109,336,445,275,74,123,quality-and-testing,5,syntax,5,3,0,0,1,0,0,0,0,0,0,0,1,0,rollback,environment,0.5924,failure
5359c529,maria_backend,ci/cd-proyecto,remove auth module,push,7,327,359,686,423,216,202,security-and-build,1,timeout,1,3,0,0,0,0,0,0,0,0,1,0,0,0,remove,auth,0.7977,failure
e87a5430,anndrew492,feature/dashboard,rollback dependencies module,push,15,120,50,170,583,147,382,security-and-build,5,dependency,2,3,0,0,1,0,0,0,0,0,0,1,0,0,rollback,dependencies,0.6130,failure
0477e97e,anndrew492,release/v1,remove billing module,push,14,204,7,211,315,87,154,none,0,none,1,13,0,0,0,0,0,0,0,0,0,0,0,0,remove,billing,0.3264,success
c8893249,anndrew492,feature/dashboard,remove dependencies module,push,6,344,181,525,565,175,314,security-and-build,5,dependency,3,7,0,0,1,0,0,0,0,0,0,1,0,0,remove,dependencies,0.4597,failure
68c25948,maria_backend,main,remove dashboard module,push,8,570,19,589,511,256,238,none,0,none,4,21,0,0,0,1,0,0,0,1,0,0,0,0,remove,dashboard,0.3332,success
e93da292,carlos_dev,main,remove api module,pull_request,14,124,199,323,351,154,114,security-and-build,2,docker,4,2,0,0,0,1,0,0,1,0,0,0,0,0,remove,api,0.5278,failure
08dbb512,carlos_dev,main,fix login module,pull_request,18,156,114,270,255,172,34,none,0,none,3,4,0,0,0,1,0,0,0,0,1,0,0,0,fix,login,0.3126,success
eca29a1a,junior_juan,release/v1,add database module,pull_request,6,632,218,850,559,151,327,quality-and-testing,3,database,6,18,1,0,0,0,0,1,0,0,0,0,0,0,add,database,0.6444,failure
99b93efb,carlos_dev,ci/cd-proyecto,fix security module,pull_request,10,130,219,349,240,109,90,none,0,none,2,9,0,0,0,0,0,0,0,0,0,0,0,0,fix,security,0.0807,success
a50a35a0,anndrew492,feature/dashboard,remove billing module,push,14,379,256,635,589,303,270,none,0,none,5,8,0,0,1,0,0,0,0,0,0,0,0,0,remove,billing,0.4145,success
9153d15b,carlos_dev,hotfix/urgente,merge database module,pull_request,20,621,110,731,376,257,106,quality-and-testing,2,database,4,5,0,1,0,0,0,1,0,0,0,0,0,0,merge,database,0.9100,failure
fc7b9790,carlos_dev,feature/dashboard,refactor security module,push,1,573,14,587,385,106,244,none,0,none,6,17,1,0,1,0,0,0,0,0,0,0,0,0,refactor,security,0.3752,success
b9dff7a9,maria_backend,feature/dashboard,add database module,push,12,178,245,423,388,158,217,none,0,none,4,4,0,0,1,0,0,1,0,0,0,0,0,0,add,database,0.3612,success
b74ce3e5,carlos_dev,main,refactor environment module,pull_request,9,122,255,377,251,131,115,none,0,none,4,17,0,0,0,1,0,0,0,0,0,0,1,0,refactor,environment,0.3774,success
dcd023a4,junior_juan,feature/dashboard,merge environment module,pull_request,17,362,260,622,495,262,151,security-and-build,4,security,1,21,0,0,1,0,0,0,0,0,0,0,1,0,merge,environment,0.7061,failure
